Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A Transmembrane Top,CDL2,0.0,0.0
Chain A Transmembrane Top,POPE,0.0,0.0
Chain A Transmembrane Top,POPG,0.0,0.0
Chain B Transmembrane Top,CDL2,0.0,0.0
Chain B Transmembrane Top,POPE,0.0,0.0
Chain B Transmembrane Top,POPG,0.0,0.0
Chain A Transmembrane Arm,CDL2,26.0,4.3
Chain A Transmembrane Arm,POPE,73.0,12.2
Chain A Transmembrane Arm,POPG,21.0,3.5
Chain B Transmembrane Arm,CDL2,17.0,2.8
Chain B Transmembrane Arm,POPE,77.0,12.8
Chain B Transmembrane Arm,POPG,27.0,4.5
Chain A CLD,CDL2,0.0,0.0
Chain A CLD,POPE,0.0,0.0
Chain A CLD,POPG,0.0,0.0
Chain B CLD,CDL2,0.0,0.0
Chain B CLD,POPE,0.0,0.0
Chain B CLD,POPG,0.0,0.0
Chain B Substrate Entrance Channel,CDL2,5.0,1.2
Chain B Substrate Entrance Channel,POPE,31.0,7.8
Chain B Substrate Entrance Channel,POPG,5.0,1.2
Chain A Substrate Entrance Channel,CDL2,0.0,0.0
Chain A Substrate Entrance Channel,POPE,27.0,6.8
Chain A Substrate Entrance Channel,POPG,8.0,2.0
