Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A Transmembrane Top,CDL2,15.0,3.8
Chain A Transmembrane Top,POPE,34.0,8.5
Chain A Transmembrane Top,POPG,4.0,1.0
Chain B Transmembrane Top,CDL2,4.0,1.0
Chain B Transmembrane Top,POPE,30.0,7.5
Chain B Transmembrane Top,POPG,22.0,5.5
Chain A CLD,CDL2,13.0,2.6
Chain A CLD,POPE,48.0,9.6
Chain A CLD,POPG,21.0,4.2
Chain B CLD,CDL2,2.0,0.4
Chain B CLD,POPE,22.0,4.4
Chain B CLD,POPG,11.0,2.2
Chain A Transmembrane Arm,CDL2,7.0,3.5
Chain A Transmembrane Arm,POPE,23.0,11.5
Chain A Transmembrane Arm,POPG,7.0,3.5
Chain A Substrate Entrance Channel,CDL2,7.5,1.5
Chain A Substrate Entrance Channel,POPE,11.0,2.2
Chain A Substrate Entrance Channel,POPG,20.0,4.0
Chain B Transmembrane Arm,CDL2,0.0,0.0
Chain B Transmembrane Arm,POPE,21.0,10.5
Chain B Transmembrane Arm,POPG,9.0,4.5
Chain B Substrate Entrance Channel,CDL2,0.0,0.0
Chain B Substrate Entrance Channel,POPE,49.0,9.8
Chain B Substrate Entrance Channel,POPG,15.0,3.0
